data_week,casos_est,casos_est_min,casos_est_max,casos,proba_disse>1,incidência_100khab,disseminação,população,tempmin,umidmax,umidmed,umidmin,tempmed,tempmax,municipio,estado,longitude,latitude
2023-01-01,1.0,1.0,1.0,1.0,0.8145292,21.358395,3.3788157,4682.0,23.7142857142857,93.4398664285714,79.2092764285714,59.4009454285714,26.9479817142857,31.0,Nova Iorque,MA,-44.0471,-6.73047
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35212.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Pilar,AL,-35.9543,-9.60135
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.0,21.0,98.0495466666667,76.7049392857143,52.2857142857143,24.1,28.7142857142857,Nova Olinda,PB,-38.0382,-7.47232
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7540.0,19.7142857142857,93.47419,71.8534712857143,46.8015004285714,24.7083334285714,30.2857142857143,Boa Vista Da Aparecida,PR,-53.4117,-25.4308
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35212.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Pilar,PB,-35.2523,-7.26403
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,13164.0,23.1428571428571,97.4922742857143,78.6257005714286,56.7611062857143,26.2023811428571,30.7142857142857,Nordestina,BA,-39.4297,-10.8192
2023-01-01,6.0,6.0,6.0,6.0,0.97448975,80.873436,4.6564913,7419.0,22.0,82.6626128571429,65.5530767142857,52.1105781428571,25.768421,28.8571428571429,Laguna Carapã,MS,-55.1502,-22.5448
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8850.0,23.2857142857143,94.24556,78.2562812857143,58.1345272857143,26.4464288571429,30.7142857142857,Nova Maringá,MT,-57.0908,-13.0136
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092.0,24.8333333333333,68.6602696666667,52.890705,42.3862368333333,28.6761363333333,31.3333333333333,Boa Vista Das Missões,RS,-53.3102,-27.6671
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3803.0,23.8296857142857,75.758595,53.8369571428571,33.7846,27.9663857142857,34.0066142857143,Santo Inácio Do Piauí,PI,-41.9063,-7.42072
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5778.0,20.6666666666667,94.36923,83.114345,73.978302,22.8333333333333,24.3333333333333,Bandeira Do Sul,MG,-46.3833,-21.7308
2023-01-01,7.0,7.0,7.0,7.0,0.99473476,11.920575,8.560103,58722.0,19.1428571428571,90.6827585714286,78.9210914285714,62.447904,21.5535717142857,25.0,Jaguariúna,SP,-46.9851,-22.7037
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7266.0,22.0,82.6626128571429,65.5530767142857,52.1105781428571,25.768421,28.8571428571429,Bandeirantes,PR,-50.3704,-23.1078
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54481.0,26.0,85.1160938571429,74.4659814285714,62.0516348571429,28.1190474285714,30.7142857142857,Acopiara,CE,-39.448,-6.08911
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33468.0,25.0,91.2725494285714,81.4517512857143,67.9483695714286,27.0416668571429,29.8571428571429,Riachão Do Jacuípe,BA,-39.3818,-11.8067
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8577.0,23.7849722857143,90.2699571428571,67.5103428571429,46.3083,27.7952428571429,33.4481428571429,Lagoa Alegre,PI,-42.6309,-4.51539
2023-01-01,71.0,71.0,71.0,71.0,1.0,8.684898,4.6106114,817511.0,25.0,83.081898,72.1169994285714,63.8028641428571,27.3463205714286,29.4285714285714,João Pessoa,PB,-34.8641,-7.11509
2023-01-01,3.0,3.0,3.0,3.0,0.6516581,5.2693515,1.3736112,56933.0,25.0,83.081898,72.1169994285714,63.8028641428571,27.3463205714286,29.4285714285714,Paudalho,PE,-35.1716,-7.90287
2023-01-01,6.0,6.0,6.0,6.0,0.9975692,94.801704,18.521618,6329.0,19.8571428571429,94.0882942857143,80.2161427142857,62.7471132857143,23.5119045714286,27.8571428571429,Taciba,SP,-51.2882,-22.3866
2023-01-01,1.0,1.0,1.0,1.0,0.9278851,5.844877,9.260809,17109.0,25.0,97.5224085714286,83.5665544285714,75.2931345714286,27.4869897142857,29.1428571428571,Belo Campo,BA,-41.2652,-15.0334
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5940.0,19.1428571428571,90.6827585714286,78.9210914285714,62.447904,21.5535717142857,25.0,Santo Antônio Do Jardim,SP,-46.6845,-22.1121
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,5598.0,20.7142857142857,94.8596848571429,78.9511357142857,66.7332407142857,24.2010174285714,26.4285714285714,São Cristovão Do Sul,SC,-50.4388,-27.2666
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11657.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Olivença,AL,-37.1954,-9.51954
2023-01-01,7.0,7.0,7.0,7.0,0.9967876,9.065714,11.19729,77214.0,23.8571428571429,100.0,94.5383278571429,75.6792175714286,26.0952382857143,30.2857142857143,Novo Repartimento,PA,-49.9499,-4.24749
2023-01-01,3.0,3.0,3.0,3.0,0.95544624,4.060309,6.5472846,73886.0,21.75,98.0495466666667,78.3136571428571,57.2313142857143,24.1488094285714,28.4285714285714,Ceará-Mirim,RN,-35.4247,-5.64323
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12297.0,21.75,98.0495466666667,78.3209857142857,56.5714285714286,24.1123461428571,28.4628,Taipu,RN,-35.5918,-5.63058
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2247.0,19.4285714285714,83.8382005714286,67.7116305714286,52.4180567142857,23.6670767142857,27.2857142857143,Lacerdópolis,SC,-51.5577,-27.2579
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.0,20.4285714285714,94.41508,79.9674628571429,58.5471398571429,23.3480465714286,28.0,Santo Antônio Do Itambé,MG,-43.3006,-18.4609
2023-01-01,1.0,1.0,1.0,1.0,0.730556,11.936023,2.207831,8378.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Barra De São Miguel,AL,-35.9057,-9.83842
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13833.0,23.1428571428571,97.4922742857143,78.6257005714286,56.7611062857143,26.2023811428571,30.7142857142857,Barra Do Mendes,BA,-42.059,-11.81
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405.0,19.4285714285714,94.8517742857143,65.3131172857143,43.3693377142857,25.691729,30.7142857142857,Dois Lajeados,RS,-51.8396,-28.983
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24309.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Craíbas,AL,-36.7697,-9.6178
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7185.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Dois Irmãos Do Tocantins,TO,-49.0638,-9.25534
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49621.0,25.8571428571429,91.9848044285714,76.53298,59.7326964285714,28.3571425714286,31.7142857142857,Coelho Neto,MA,-43.0108,-4.25245
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59842.0,23.8571428571429,100.0,94.5383278571429,75.6792175714286,26.0952382857143,30.2857142857143,Jacundá,PA,-49.1153,-4.44617
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63846.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Penedo,AL,-36.5819,-10.2874
2023-01-01,2.0,2.0,2.0,2.0,0.97703266,35.391968,17.791412,5651.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Barrolândia,TO,-48.7252,-9.83404
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7584.0,21.75,98.0495466666667,78.2948285714286,55.9161042857143,24.1123461428571,28.4285714285714,Lagoa De Pedras,RN,-35.4299,-6.15082
